Blocks,Mergesort,Quicksort
0,0,0
1000,6420,8699
2000,20485,28114
3000,44818,59003
4000,75748,101830
5000,114956,157023
6000,158081,224796
7000,218179,305409
8000,280133,399055
9000,357582,505976
10000,440473,626363
11000,542356,760314
12000,652498,907842
13000,761395,1069217
14000,881617,1244518
15000,1012242,1433818
16000,1152028,1637098
17000,1301324,1854651
18000,1468041,2086502
19000,1642328,2332856
20000,1816459,2593624
21000,1992709,2868922
22000,2183791,3158860
23000,2398905,3463432
24000,2618864,3782540
25000,2845416,4116578
26000,3095021,4465429
27000,3348226,4829138
28000,3593103,5207777
29000,3874829,5601388
30000,4152897,6009940
31000,4459487,6433357
32000,4767193,6871942
33000,5105158,7325584
34000,5416061,7794775
35000,5766329,8279240
36000,6141486,8779126
37000,6508220,9294369
38000,6864550,9825114
39000,7259212,10371215
40000,7650908,10932842
41000,8096403,11510177
42000,8494747,12102868
43000,8882558,12711236
44000,9307081,13335311
45000,9747631,13975095
46000,10187095,14630553
47000,10641967,15301506
48000,11145999,15987993
49000,11637643,16690368
50000,12137762,17408526
51000,12656480,18142878
52000,13209452,18892627
53000,13821308,19658348
54000,14326212,20439950
55000,14868845,21237483
56000,15441131,22050919
57000,16072286,22880256
58000,16642348,23725538
59000,17248360,24587021
60000,17884129,25464358
61000,18545456,26357464
62000,19144876,27266543
63000,19803873,28191617
64000,20441640,29132856
65000,21148810,30090100
66000,21820799,31063547
67000,22532579,32053406
68000,23253185,33059709
69000,24019437,34082147
70000,24739309,35121041
71000,25454799,36176470
72000,26163915,37248324
73000,26963709,38336438
74000,27821332,39441037
75000,28578684,40562097
76000,29352144,41699665
77000,30179146,42853663
78000,30991847,44023970
79000,31788557,45211025
80000,32610294,46414583
81000,33395117,47634587
82000,34205493,48871314
83000,35173692,50124340
84000,36057510,51393888
85000,36871093,52680317
86000,37760441,53983107
87000,38740702,55302739
88000,39646519,56639055
89000,40684751,57991931
90000,41697800,59361416
91000,42787653,60747670
92000,43808475,62150383
93000,44809901,63569783
94000,45847565,65005544
95000,46800746,66458430
96000,47953001,67927708
97000,48948148,69413605
98000,50009646,70916428
99000,51041366,72435934
100000,52081370,73972382
